epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.984,0,3.36779,0,0,0,0,0,0,0,0,0.0671146,0.000332176,0.000332176
2,459.288,0,0,0,0,0,0,0,0,0,0,0.0340487,0.000599624,0.000599624
3,703.1,0,0,0,0,0,0,0,0,0,0,0.000916813,0.000801072,0.000801072
4,925.485,0,0,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,1142.45,0,0,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,1359.55,0,0,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,1910.96,0,0,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,2131.07,0,0,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,2349.31,0,0,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,2570.61,0,0,0,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
